"filename", "language", "C++", "JSON", "HTML", "Dart", "Markdown", "Swift", "XML", "YAML", "comment", "blank", "total"
"c:\Users\DeRep\my_app\Frontend\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 3, 23, 4, 30
"c:\Users\DeRep\my_app\Frontend\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"c:\Users\DeRep\my_app\Frontend\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\DeRep\my_app\Frontend\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\DeRep\my_app\Frontend\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\DeRep\my_app\Frontend\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\DeRep\my_app\Frontend\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 1, 1, 38
"c:\Users\DeRep\my_app\Frontend\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 1, 1, 27
"c:\Users\DeRep\my_app\Frontend\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\DeRep\my_app\Frontend\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\DeRep\my_app\Frontend\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\DeRep\my_app\Frontend\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\DeRep\my_app\Frontend\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"c:\Users\DeRep\my_app\Frontend\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\DeRep\my_app\Frontend\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\DeRep\my_app\Frontend\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"c:\Users\DeRep\my_app\Frontend\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\DeRep\my_app\Frontend\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 57, 59, 22, 138
"c:\Users\DeRep\my_app\Frontend\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 10, 7, 31
