Date : 2023-11-01 21:41:12
Directory : c:\Users\DeRep\my_app\Frontend
Total : 60 files,  2685 codes, 488 comments, 460 blanks, all 3633 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         24 |      1,030 |        206 |        320 |      1,556 |
| XML      |          6 |        808 |          4 |          6 |        818 |
| JSON     |          8 |        496 |          0 |          8 |        504 |
| Swift    |         10 |         92 |          8 |         32 |        132 |
| Dart     |          3 |         88 |         74 |         26 |        188 |
| YAML     |          4 |         79 |        164 |         45 |        288 |
| HTML     |          2 |         76 |         32 |         12 |        120 |
| Markdown |          3 |         16 |          0 |         11 |         27 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |         60 |      2,685 |        488 |        460 |      3,633 |
| . (Files)                                                                                            |          2 |         60 |         82 |         26 |        168 |
| ios                                                                                                  |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                           |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                   |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                      |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                           |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                        |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                      |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                |          2 |         61 |          2 |          2 |         65 |
| linux                                                                                                |          3 |         86 |         18 |         27 |        131 |
| macos                                                                                                |          5 |        438 |          2 |         12 |        452 |
| macos\Runner                                                                                         |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                 |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                    |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                         |          1 |         68 |          0 |          1 |         69 |
