Date : 2023-11-01 21:41:12
Directory : c:\Users\DeRep\my_app\Frontend
Total : 109 files,  6563 codes, 902 comments, 937 blanks, all 8402 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         52 |      3,966 |        488 |        503 |      4,957 |
| C++      |         24 |      1,030 |        206 |        320 |      1,556 |
| XML      |          6 |        808 |          4 |          6 |        818 |
| JSON     |          8 |        496 |          0 |          8 |        504 |
| Swift    |         10 |         92 |          8 |         32 |        132 |
| YAML     |          4 |         79 |        164 |         45 |        288 |
| HTML     |          2 |         76 |         32 |         12 |        120 |
| Markdown |          3 |         16 |          0 |         11 |         27 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |        109 |      6,563 |        902 |        937 |      8,402 |
| . (Files)                                                                                            |          2 |         60 |         82 |         26 |        168 |
| ios                                                                                                  |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                           |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                   |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                      |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                           |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                        |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                      |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                  |         49 |      3,878 |        414 |        477 |      4,769 |
| lib (Files)                                                                                          |          1 |         63 |          5 |          9 |         77 |
| lib\src                                                                                              |         48 |      3,815 |        409 |        468 |      4,692 |
| lib\src (Files)                                                                                      |          2 |         53 |         35 |         33 |        121 |
| lib\src\Data                                                                                         |          2 |         37 |          3 |         16 |         56 |
| lib\src\Models                                                                                       |          4 |        144 |          0 |         20 |        164 |
| lib\src\Providers                                                                                    |          1 |         75 |          4 |         16 |         95 |
| lib\src\Screens                                                                                      |         14 |      2,052 |        148 |        151 |      2,351 |
| lib\src\Widgets                                                                                      |         25 |      1,454 |        219 |        232 |      1,905 |
| lib\src\Widgets (Files)                                                                              |         11 |        424 |         19 |         82 |        525 |
| lib\src\Widgets\Header                                                                               |          2 |        123 |         67 |         39 |        229 |
| lib\src\Widgets\Items                                                                                |          2 |         96 |          3 |         16 |        115 |
| lib\src\Widgets\LeftCards                                                                            |         10 |        811 |        130 |         95 |      1,036 |
| linux                                                                                                |          3 |         86 |         18 |         27 |        131 |
